"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Grand Isle County, Vermont","","","","","",4944.0,24.682142857142853,24.682142857142853,0.0,0.0,1.0,1441.0
"Grand Traverse County, Michigan",412.13214285714275,412.13214285714275,0.0,0.0,1.0,58538.0,360.94642857142856,360.94642857142856,0.0,0.0,1.0,19164.0
"Granite County, Montana",33.01785714285714,33.01785714285714,0.0,0.0,1.0,2132.0,"","","","","",595.0
"Grant County, Arkansas",-164.3428571428571,-164.3428571428571,0.0,0.0,1.0,11240.0,49.11785714285714,49.11785714285714,0.0,0.0,1.0,2191.0
"Grant County, Indiana",-532.7285714285713,-532.7285714285713,0.0,0.0,1.0,34406.0,381.55271243304014,543.1014806255698,149.6745851791129,173.42295119343908,0.0,11696.0
"Grant County, Kansas","","","","","",5865.0,-78.20854616630822,-111.4308222476393,-31.287384176062005,-35.15716798707126,0.0,714.0
"Grant County, Kentucky",-214.92499999999998,-214.92499999999998,0.0,0.0,1.0,14987.0,100.08928571428571,100.08928571428571,0.0,0.0,1.0,3566.0
"Grant County, Minnesota","","","","","",3924.0,22.463013204280287,34.82535429159179,11.547672912178768,13.177009262032698,0.0,925.0
"Grant County, Nebraska","","","","","",456.0,4.235714285714286,4.235714285714286,0.0,0.0,1.0,138.0
"Grant County, New Mexico",-220.48214285714283,-220.48214285714283,0.0,0.0,1.0,14649.0,157.54285714285712,157.54285714285712,0.0,0.0,1.0,6636.0
"Grant County, North Dakota",-14.892857142857142,-14.892857142857142,0.0,0.0,1.0,1547.0,-17.65337750484923,-20.767630898514653,-3.114253393665286,-3.114253393665286,0.0,451.0
"Grant County, Oklahoma",-53.421428571428564,-53.421428571428564,0.0,0.0,1.0,2469.0,7.66806070599705,25.280724993906915,15.736910139336032,19.488418434940286,0.0,657.0
"Grant County, Oregon",144.17138127237558,208.43254083395004,60.05860802727693,68.46371109404936,0.0,4726.0,35.89642857142857,35.89642857142857,0.0,0.0,1.0,1734.0
"Grant County, South Dakota",198.2043082304299,267.15299025550485,64.22985346857604,73.66751058225054,0.0,5525.0,"","","","","",1069.0
"Grant County, Washington",344.3107142857143,344.3107142857143,0.0,0.0,1.0,59500.0,219.91071428571428,219.91071428571428,0.0,0.0,1.0,12735.0
"Grant County, West Virginia",-118.91428571428573,-118.91428571428573,0.0,0.0,1.0,6741.0,-120.03075476363301,-191.91554071381688,-66.5544063641064,-77.2151655399357,0.0,2019.0
"Grant County, Wisconsin",-67.73289480805397,-165.92501392960548,-89.49999996994302,-106.88423828203668,0.0,30618.0,-202.58073691015306,-249.38228829995205,-46.80155138978763,-46.80155138978763,0.0,10714.0
"Grant Parish, Louisiana",-120.96428571428571,-120.96428571428571,0.0,0.0,1.0,11373.0,-122.85454104719975,-142.56898836459004,-19.714447317389418,-19.714447317389418,0.0,2449.0
"Granville County, North Carolina","","","","","",34604.0,102.81785714285714,102.81785714285714,0.0,0.0,1.0,7697.0
"Gratiot County, Michigan",-295.80000000000007,-295.80000000000007,0.0,0.0,1.0,21978.0,94.1892857142857,94.1892857142857,0.0,0.0,1.0,6186.0
"Graves County, Kentucky",-170.52857142857144,-170.52857142857144,0.0,0.0,1.0,23829.0,60.74285714285714,60.74285714285714,0.0,0.0,1.0,5616.0
"Gray County, Kansas","","","","","",4387.0,-23.98049450549388,-28.005219780219704,-4.024725274725318,-4.024725274725318,0.0,559.0
"Gray County, Texas",-112.84999999999998,-112.84999999999998,0.0,0.0,1.0,12468.0,-95.76053652230621,-115.99324499030627,-20.23270846800294,-20.23270846800294,0.0,2965.0
"Grays Harbor County, Washington",4.642368972301483,-264.02801437675953,-239.164350148596,-298.1764165194036,0.0,41776.0,107.07857142857142,107.07857142857142,0.0,0.0,1.0,13701.0
