"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Abbeville County, South Carolina",-164.89999999999998,-164.89999999999998,0.0,0.0,1.0,13492.0,"","","","","",3971.0
"Acadia Parish, Louisiana",-1780.1339766979218,-2475.779275715351,-647.0196076822176,-744.27099029292,0.0,34432.0,-275.4611667744466,-337.8136231416138,-62.35245636716449,-62.35245636716449,0.0,7885.0
"Accomack County, Virginia",-150.00421692430973,-263.1833808273077,-101.20895275194925,-125.14937507312425,0.0,18488.0,-45.04285714285714,-45.04285714285714,0.0,0.0,1.0,5339.0
"Ada County, Idaho",5591.460714285713,5591.460714285713,0.0,0.0,1.0,319232.0,2268.6642857142856,2268.6642857142856,0.0,0.0,1.0,88463.0
"Adair County, Iowa",-75.85357142857143,-75.85357142857143,0.0,0.0,1.0,4560.0,142.00827803649008,192.73794297873974,47.49531350735742,53.96401637300187,0.0,1624.0
"Adair County, Kentucky","","","","","",11587.0,"","","","","",2589.0
"Adair County, Missouri",206.37894311572018,245.38912411118508,39.010180995474,39.010180995474,0.0,12837.0,-315.9147023782134,-477.84327375888824,-151.09599219884694,-172.76115056896379,0.0,6919.0
"Adair County, Oklahoma",-232.61071428571424,-232.61071428571424,0.0,0.0,1.0,11226.0,47.467857142857135,47.467857142857135,0.0,0.0,1.0,2630.0
"Adams County, Colorado",4129.757142857143,4129.757142857143,0.0,0.0,1.0,318582.0,1673.935714285714,1673.935714285714,0.0,0.0,1.0,75668.0
"Adams County, Idaho",158.89752747253806,181.05961538461997,22.162087912087916,22.162087912087916,0.0,2963.0,23.160714285714285,23.160714285714285,0.0,0.0,1.0,883.0
"Adams County, Illinois",-734.6350840336527,-820.0867647059204,-85.45168067226807,-85.45168067226807,0.0,39062.0,252.4731092436923,280.2210084033577,27.747899159662747,27.747899159662747,0.0,12213.0
"Adams County, Indiana",557.4493669569492,809.8623436838388,234.68842919322196,270.137524216334,0.0,26002.0,-24.353943115711445,-38.971266968328564,-14.61732385261796,-14.61732385261796,0.0,4247.0
"Adams County, Iowa",-45.70714285714286,-45.70714285714286,0.0,0.0,1.0,2371.0,-10.083158440887928,-25.63574228528887,-14.055537589128107,-17.049630097935733,0.0,731.0
"Adams County, Mississippi",-161.40714285714287,-161.40714285714287,0.0,0.0,1.0,12489.0,"","","","","",5508.0
"Adams County, Nebraska",-174.1928571428571,-174.1928571428571,0.0,0.0,1.0,18211.0,-115.0634776987863,-136.2121525533439,-21.148674854557466,-21.148674854557466,0.0,5710.0
"Adams County, North Dakota",-71.6061247575999,-83.42916936005713,-11.823044602456491,-11.823044602456491,0.0,1500.0,12.258548804137718,13.492711700065229,1.2341628959276048,1.2341628959276048,0.0,418.0
"Adams County, Ohio",328.94851325143827,405.05064641239005,76.10213316095476,76.10213316095476,0.0,17450.0,-189.91881060117885,-220.51480284422723,-30.595992243051786,-30.595992243051786,0.0,3487.0
"Adams County, Pennsylvania",-142.23419596254826,-317.91061264276505,-159.0071105133975,-192.34572288345953,0.0,68373.0,143.7535714285714,143.7535714285714,0.0,0.0,1.0,14811.0
"Adams County, Washington",568.8855304419994,835.4347206056118,246.9503339544608,286.1480463736516,0.0,13089.0,36.135714285714286,36.135714285714286,0.0,0.0,1.0,1765.0
"Adams County, Wisconsin",92.50244020685932,117.88915643181099,25.386716224950796,25.386716224950796,0.0,12035.0,94.37142857142857,94.37142857142857,0.0,0.0,1.0,4659.0
"Addison County, Vermont","","","","","",22245.0,107.53571428571426,107.53571428571426,0.0,0.0,1.0,7011.0
"Adjuntas Municipio, Puerto Rico",-282.0035714285714,-282.0035714285714,0.0,0.0,1.0,7782.0,71.27499999999999,71.27499999999999,0.0,0.0,1.0,2268.0
"Aguada Municipio, Puerto Rico",-659.3892857142858,-659.3892857142858,0.0,0.0,1.0,19547.0,150.94642857142853,150.94642857142853,0.0,0.0,1.0,5110.0
"Aguadilla Municipio, Puerto Rico",-905.4285714285712,-905.4285714285712,0.0,0.0,1.0,23988.0,255.88928571428568,255.88928571428568,0.0,0.0,1.0,8526.0
"Aguas Buenas Municipio, Puerto Rico",-460.87500000000017,-460.87500000000017,0.0,0.0,1.0,10924.0,67.87857142857142,67.87857142857142,0.0,0.0,1.0,2792.0
"Aibonito Municipio, Puerto Rico",-364.3321428571429,-364.3321428571429,0.0,0.0,1.0,10157.0,126.6142857142857,126.6142857142857,0.0,0.0,1.0,3705.0
"Aiken County, South Carolina",793.7499999999999,793.7499999999999,0.0,0.0,1.0,102042.0,475.67499999999995,475.67499999999995,0.0,0.0,1.0,27399.0
"Aitkin County, Minnesota",-82.74642857142855,-82.74642857142855,0.0,0.0,1.0,9617.0,"","","","","",3103.0
"Alachua County, Florida",1643.35,1643.35,0.0,0.0,1.0,128721.0,888.0321428571426,888.0321428571426,0.0,0.0,1.0,80808.0
"Alamance County, North Carolina",1084.8964285714287,1084.8964285714287,0.0,0.0,1.0,98714.0,573.1249999999999,573.1249999999999,0.0,0.0,1.0,29215.0
"Alameda County, California",13292.710714285715,13292.710714285715,0.0,0.0,1.0,1011737.0,2768.1428571428564,2768.1428571428564,0.0,0.0,1.0,291376.0
"Alamosa County, Colorado",-309.6644539684057,-431.89145244285464,-114.15610857965657,-130.29788836866283,0.0,8893.0,-52.15189075631497,-69.51113445379451,-17.359243697479688,-17.359243697479688,0.0,2917.0
"Albany County, New York","","","","","",159163.0,722.5107142857144,722.5107142857144,0.0,0.0,1.0,75919.0
"Albany County, Wyoming",-210.9124111183337,-276.17162249519606,-65.25921137685968,-65.25921137685968,0.0,18168.0,-287.08922107306716,-350.3654007757141,-63.27617970265135,-63.27617970265135,0.0,12282.0
"Albemarle County, Virginia",495.35714285714283,495.35714285714283,0.0,0.0,1.0,65562.0,440.58571428571423,440.58571428571423,0.0,0.0,1.0,21941.0
"Alcona County, Michigan",-124.12857142857145,-124.12857142857145,0.0,0.0,1.0,6278.0,34.64285714285714,34.64285714285714,0.0,0.0,1.0,2189.0
"Alcorn County, Mississippi",-328.75357142857143,-328.75357142857143,0.0,0.0,1.0,19027.0,116.12499999999999,116.12499999999999,0.0,0.0,1.0,6163.0
"Aleutians East Borough, Alaska",62.98571428571429,62.98571428571429,0.0,0.0,1.0,1063.0,30.58214285714285,30.58214285714285,0.0,0.0,1.0,458.0
"Aleutians West Census Area, Alaska",92.40357142857141,92.40357142857141,0.0,0.0,1.0,2066.0,45.089285714285715,45.089285714285715,0.0,0.0,1.0,1007.0
"Alexander County, Illinois",-96.74642857142855,-96.74642857142855,0.0,0.0,1.0,2469.0,-29.550000000000004,-29.550000000000004,0.0,0.0,1.0,854.0
"Alexander County, North Carolina",169.08807369103306,214.382514544297,45.294440853265826,45.294440853265826,0.0,23769.0,274.9604978263378,419.7100937962532,134.24224302973744,155.25694891335297,0.0,5056.0
"Alexandria city, Virginia",1178.3035714285716,1178.3035714285716,0.0,0.0,1.0,79034.0,555.2571428571428,555.2571428571428,0.0,0.0,1.0,50772.0
"Alfalfa County, Oklahoma",-52.81698131002486,-96.78625875152647,-39.970534353138646,-47.96802052737257,0.0,3163.0,39.72471249476075,74.35738863237202,31.62588880361909,37.63946346456214,0.0,619.0
"Alger County, Michigan","","","","","",5441.0,68.71295115351677,104.293169118464,33.10805859212451,38.05237734562979,0.0,1368.0
"Allamakee County, Iowa",-50.73928571428571,-50.73928571428571,0.0,0.0,1.0,9140.0,29.62142857142857,29.62142857142857,0.0,0.0,1.0,2788.0
"Allegan County, Michigan",308.2571428571428,308.2571428571428,0.0,0.0,1.0,82348.0,96.06428571428572,96.06428571428572,0.0,0.0,1.0,14572.0
"Allegany County, Maryland",-482.58571428571423,-482.58571428571423,0.0,0.0,1.0,34693.0,465.5225424543023,626.6575708016753,150.99412840749574,171.2759283075502,0.0,14447.0
"Allegany County, New York",-208.30357142857136,-208.30357142857136,0.0,0.0,1.0,26817.0,"","","","","",8026.0
"Alleghany County, North Carolina",135.1735708862543,249.00909484177828,102.89296488265973,124.77808303367783,0.0,7229.0,131.33466386555665,152.84936974790617,21.514705882353176,21.514705882353176,0.0,2070.0
"Alleghany County, Virginia",-187.14642857142857,-187.14642857142857,0.0,0.0,1.0,9112.0,-50.696153846161906,-65.93241758242584,-15.236263736264194,-15.236263736264194,0.0,2789.0
"Allegheny County, Pennsylvania",646.1864414997399,935.0883484163787,288.9019069166174,288.9019069166174,0.0,673563.0,3289.3785714285714,3289.3785714285714,0.0,0.0,1.0,300156.0
"Allen County, Indiana",813.4071428571428,813.4071428571428,0.0,0.0,1.0,227211.0,1031.185714285714,1031.185714285714,0.0,0.0,1.0,68610.0
"Allen County, Kansas",-138.75357142857143,-138.75357142857143,0.0,0.0,1.0,7021.0,-295.00965509191155,-398.6324824206531,-97.28905407548518,-109.95660058097928,0.0,1860.0
"Allen County, Kentucky",-269.3777957337297,-330.7633807369566,-61.38558500323552,-61.38558500323552,0.0,13168.0,109.64080653712153,176.4193653576076,61.49719884624574,72.05991880603324,0.0,2646.0
"Allen County, Ohio",-633.9607142857144,-633.9607142857144,0.0,0.0,1.0,53931.0,333.9964285714285,333.9964285714285,0.0,0.0,1.0,19950.0
"Allen Parish, Louisiana",-246.46071428571423,-246.46071428571423,0.0,0.0,1.0,10637.0,"","","","","",2483.0
"Allendale County, South Carolina",-81.24999999999999,-81.24999999999999,0.0,0.0,1.0,2595.0,34.646428571428565,34.646428571428565,0.0,0.0,1.0,1548.0
"Alpena County, Michigan",-299.37857142857143,-299.37857142857143,0.0,0.0,1.0,15674.0,107.99285714285715,107.99285714285715,0.0,0.0,1.0,6641.0
"Alpine County, California",50.29487718164273,55.45890433096247,5.16402714932101,5.16402714932101,0.0,844.0,18.086134453782506,21.73739495798509,3.6512605042017614,3.6512605042017614,0.0,211.0
"Amador County, California",566.0464285714552,646.7964285714552,80.75000000000095,80.75000000000095,0.0,23607.0,350.27049672976136,456.69935543090105,100.32616890893041,112.53154849564817,0.0,6528.0
"Amelia County, Virginia",98.1392857142857,98.1392857142857,0.0,0.0,1.0,9917.0,27.179583925753832,-2.3783148638904095,-26.17183795629171,-32.943959626049036,0.0,1763.0
"Amherst County, Virginia","","","","","",18228.0,335.8251444287598,439.7664376012981,97.6961322866664,110.18645405602365,0.0,5733.0
"Amite County, Mississippi",-179.8281512605172,-213.53403361346864,-33.70588235294166,-33.70588235294166,0.0,6872.0,218.39891767129302,296.64855854958296,72.78382891100773,83.71545284341119,0.0,2456.0
"Anchorage Municipality, Alaska",-1783.29350355512,-2048.6745636715787,-265.38106011635347,-265.38106011635347,0.0,169394.0,447.58928571428567,447.58928571428567,0.0,0.0,1.0,51773.0
"Anderson County, Kansas","","","","","",5207.0,-63.08522947640813,-74.31729153199922,-11.232062055591916,-11.232062055591916,0.0,1004.0
"Anderson County, Kentucky","","","","","",15149.0,66.71071428571429,66.71071428571429,0.0,0.0,1.0,3578.0
"Anderson County, South Carolina",795.2999999999998,795.2999999999998,0.0,0.0,1.0,127145.0,528.9142857142857,528.9142857142857,0.0,0.0,1.0,29661.0
"Anderson County, Tennessee",662.8476405947877,790.2674854558136,127.4198448610234,127.4198448610234,0.0,46495.0,550.3507087826729,729.3272314146161,167.08995903404139,190.863086236066,0.0,13509.0
"Anderson County, Texas","","","","","",27668.0,"","","","","",5601.0
"Andrew County, Missouri","","","","","",12085.0,-25.02551712992863,-33.92322236586915,-8.897705235940764,-8.897705235940764,0.0,2511.0
"Andrews County, Texas",354.7321428571429,354.7321428571429,0.0,0.0,1.0,13208.0,"","","","","",1623.0
"Androscoggin County, Maine","","","","","",62685.0,251.2464285714285,251.2464285714285,0.0,0.0,1.0,22675.0
"Angelina County, Texas","","","","","",48550.0,381.29478021981777,431.4623626373941,50.16758241758312,50.16758241758312,0.0,11025.0
"Anne Arundel County, Maryland",3073.039285714285,3073.039285714285,0.0,0.0,1.0,378467.0,917.7071428571429,917.7071428571429,0.0,0.0,1.0,86168.0
"Anoka County, Minnesota",950.725,950.725,0.0,0.0,1.0,238961.0,790.0964285714284,790.0964285714284,0.0,0.0,1.0,51633.0
"Anson County, North Carolina",-583.3624757595826,-653.452650290943,-70.09017453135215,-70.09017453135215,0.0,9687.0,104.16071428571429,104.16071428571429,0.0,0.0,1.0,4026.0
"Antelope County, Nebraska",-58.84285714285714,-58.84285714285714,0.0,0.0,1.0,4228.0,30.953571428571422,30.953571428571422,0.0,0.0,1.0,1242.0
"Antrim County, Michigan","","","","","",15915.0,267.6728355437517,361.34023840352893,87.88472312339218,99.45008260048417,0.0,4033.0
"Apache County, Arizona",-384.89642857142854,-384.89642857142854,0.0,0.0,1.0,30011.0,99.49999999999997,99.49999999999997,0.0,0.0,1.0,7570.0
"Appanoose County, Iowa",-117.05803167421254,-129.50163219134265,-12.443600517130012,-12.443600517130012,0.0,7370.0,"","","","","",2201.0
"Appling County, Georgia",-120.54073683172464,-223.5132463350892,-93.31087050287897,-112.63414853365975,0.0,11427.0,-46.285714285714285,-46.285714285714285,0.0,0.0,1.0,1928.0
"Appomattox County, Virginia",144.76428571428573,144.76428571428573,0.0,0.0,1.0,10548.0,159.31763089852757,181.8378312863715,22.520200387848,22.520200387848,0.0,2332.0
"Aransas County, Texas","","","","","",13974.0,106.81785714285714,106.81785714285714,0.0,0.0,1.0,4952.0
"Arapahoe County, Colorado",5057.085714285712,5057.085714285712,0.0,0.0,1.0,399002.0,2011.2000000000003,2011.2000000000003,0.0,0.0,1.0,116711.0
"Archer County, Texas",-83.96785714285713,-83.96785714285713,0.0,0.0,1.0,5915.0,27.21785714285714,27.21785714285714,0.0,0.0,1.0,1127.0
"Archuleta County, Colorado",394.94754363286484,442.1566580478684,47.20911441499793,47.20911441499793,0.0,9496.0,83.5035714285714,83.5035714285714,0.0,0.0,1.0,2093.0
"Arecibo Municipio, Puerto Rico",-1237.035714285714,-1237.035714285714,0.0,0.0,1.0,38586.0,284.4321428571429,284.4321428571429,0.0,0.0,1.0,12266.0
"Arenac County, Michigan",-129.81071428571425,-129.81071428571425,0.0,0.0,1.0,8967.0,47.271428571428565,47.271428571428565,0.0,0.0,1.0,2917.0
"Arkansas County, Arkansas",-109.38928571428569,-109.38928571428569,0.0,0.0,1.0,10044.0,-181.8449065387249,-262.37122988700867,-74.1848200788736,-86.86782661584948,0.0,3108.0
"Arlington County, Virginia",2349.7428571428563,2349.7428571428563,0.0,0.0,1.0,124091.0,706.6,706.6,0.0,0.0,1.0,81425.0
"Armstrong County, Pennsylvania",-314.46428571428567,-314.46428571428567,0.0,0.0,1.0,42356.0,83.05714285714284,83.05714285714284,0.0,0.0,1.0,11519.0
"Armstrong County, Texas","","","","","",1406.0,"","","","","",177.0
"Aroostook County, Maine",-479.3785714285715,-479.3785714285715,0.0,0.0,1.0,39486.0,391.47062979638577,523.6028211414814,123.47947641541396,140.78490627891733,0.0,13982.0
"Arroyo Municipio, Puerto Rico",-378.29999999999995,-378.29999999999995,0.0,0.0,1.0,5721.0,187.08767787739635,264.2679999768734,71.7393341621173,82.62131002961542,0.0,2283.0
"Arthur County, Nebraska",41.29093772917986,60.73267082776874,17.942361555542448,20.94110464262485,0.0,350.0,-12.645071947248653,-16.603710529743694,-3.7459060535946946,-4.171371111402891,0.0,55.0
"Ascension Parish, Louisiana",1237.3000000000002,1237.3000000000002,0.0,0.0,1.0,84321.0,306.80714285714276,306.80714285714276,0.0,0.0,1.0,14111.0
"Ashe County, North Carolina","","","","","",17691.0,"","","","","",4452.0
"Ashland County, Ohio",-305.4428571428571,-305.4428571428571,0.0,0.0,1.0,34174.0,145.89285714285714,145.89285714285714,0.0,0.0,1.0,8523.0
"Ashland County, Wisconsin",160.89112052321434,230.29835135489702,65.22969187301351,73.58476980201158,0.0,9095.0,46.77499999999999,46.77499999999999,0.0,0.0,1.0,3784.0
"Ashley County, Arkansas",-172.05,-172.05,0.0,0.0,1.0,12005.0,118.6422753716979,135.8064641241217,17.16418875242417,17.16418875242417,0.0,3088.0
"Ashtabula County, Ohio",-757.7714285714285,-757.7714285714285,0.0,0.0,1.0,52523.0,171.77142857142854,171.77142857142854,0.0,0.0,1.0,18145.0
"Asotin County, Washington","","","","","",12277.0,93.77499999999999,93.77499999999999,0.0,0.0,1.0,5016.0
"Assumption Parish, Louisiana",-210.3821428571428,-210.3821428571428,0.0,0.0,1.0,12445.0,52.08214285714284,52.08214285714284,0.0,0.0,1.0,3209.0
"Atascosa County, Texas",204.2142857142857,204.2142857142857,0.0,0.0,1.0,30041.0,91.54285714285712,91.54285714285712,0.0,0.0,1.0,4849.0
"Atchison County, Kansas","","","","","",8828.0,-133.7230446024696,-155.92569489335438,-22.202650290886417,-22.202650290886417,0.0,2369.0
"Atchison County, Missouri",-59.099999999999994,-59.099999999999994,0.0,0.0,1.0,3242.0,-108.56252307258546,-147.41461131349206,-36.45421242331031,-41.24996405697675,0.0,979.0
"Athens County, Ohio","","","","","",26557.0,"","","","","",17728.0
"Atkinson County, Georgia",283.29352609440684,392.44379898905754,101.09383749850895,117.20670828795483,0.0,5408.0,-73.93426732718945,-102.881432085298,-27.159771595970597,-30.734557920642146,0.0,1008.0
"Atlantic County, New Jersey","","","","","",154504.0,953.0515029089001,1064.4963962508482,111.44489334195183,111.44489334195183,0.0,45171.0
"Atoka County, Oklahoma",211.73539261892438,298.09416046738625,80.97522083922377,91.74231485689234,0.0,7987.0,-24.848439602181315,-53.40279211290181,-25.846961860657757,-31.261743158065656,0.0,1822.0
"Attala County, Mississippi",-204.2392857142857,-204.2392857142857,0.0,0.0,1.0,8413.0,42.44072398190474,51.661797026506974,9.221073044602653,9.221073044602653,0.0,2513.0
"Audrain County, Missouri",-122.61785714285712,-122.61785714285712,0.0,0.0,1.0,14173.0,-119.38673238526098,-146.99225921137986,-27.60552682611482,-27.60552682611482,0.0,3843.0
"Audubon County, Iowa",-64.19642857142856,-64.19642857142856,0.0,0.0,1.0,3495.0,"","","","","",1147.0
"Auglaize County, Ohio",-219.41071428571422,-219.41071428571422,0.0,0.0,1.0,31099.0,122.70714285714288,122.70714285714288,0.0,0.0,1.0,7457.0
"Augusta County, Virginia","","","","","",49504.0,272.725,272.725,0.0,0.0,1.0,11474.0
"Aurora County, South Dakota",-25.057142857142857,-25.057142857142857,0.0,0.0,1.0,1738.0,-39.33912772499025,-60.6859728647396,-19.767345389975162,-22.92634488711792,0.0,433.0
"Austin County, Texas",200.75357142857143,200.75357142857143,0.0,0.0,1.0,21053.0,111.62785577401519,174.2065385133028,57.357088969765755,67.8002765012061,0.0,3295.0
"Autauga County, Alabama",378.4666091054678,598.4764847904444,198.6850893353694,241.334661984758,0.0,37951.0,145.32499999999996,145.32499999999996,0.0,0.0,1.0,8243.0
"Avery County, North Carolina",415.03783985972404,666.9860640019178,232.1964016137208,271.70004666253226,0.0,10113.0,-42.89999999999999,-42.89999999999999,0.0,0.0,1.0,2459.0
"Avoyelles Parish, Louisiana",-323.0964285714285,-323.0964285714285,0.0,0.0,1.0,17693.0,115.06428571428573,115.06428571428573,0.0,0.0,1.0,6538.0
"AÃ±asco Municipio, Puerto Rico",-504.2214285714285,-504.2214285714285,0.0,0.0,1.0,11609.0,75.3,75.3,0.0,0.0,1.0,3366.0
"Baca County, Colorado",-33.83571428571429,-33.83571428571429,0.0,0.0,1.0,2265.0,55.06097285068245,62.77768261150959,7.716709760827431,7.716709760827431,0.0,759.0
"Bacon County, Georgia",94.45649375021458,207.10661405324936,102.6501831443893,122.65005745394592,0.0,5810.0,"","","","","",1702.0
"Bailey County, Texas",-146.76071428571427,-146.76071428571427,0.0,0.0,1.0,2695.0,"","","","","",831.0
"Baker County, Florida","","","","","",15643.0,162.13447649404407,236.73467937484384,68.12728935763516,81.07311640706757,0.0,3161.0
"Baker County, Georgia",-102.67899159664012,-113.11596638655465,-10.436974789915825,-10.436974789915825,0.0,1432.0,"","","","","",391.0
"Baker County, Oregon",-54.867707235738635,-85.41094502620399,-27.392156844383862,-33.69431873492431,0.0,9964.0,77.40357142857142,77.40357142857142,0.0,0.0,1.0,3924.0
"Baldwin County, Alabama",2959.2964285714284,2959.2964285714284,0.0,0.0,1.0,157691.0,1009.5749999999998,1009.5749999999998,0.0,0.0,1.0,35418.0
"Baldwin County, Georgia","","","","","",18398.0,-523.9966224951786,-609.3109405300929,-85.31431803490865,-85.31431803490865,0.0,8536.0
"Ballard County, Kentucky",-57.87500000000001,-57.87500000000001,0.0,0.0,1.0,5213.0,-121.5237071751908,-138.72587265676702,-17.20216548157793,-17.20216548157793,0.0,1019.0
"Baltimore County, Maryland",1069.2999999999997,1069.2999999999997,0.0,0.0,1.0,476002.0,1927.8912895927788,2162.6154330963036,234.7241435035541,234.7241435035541,0.0,144989.0
"Baltimore city, Maryland",-3977.4356377124786,-6094.327317714691,-1940.8591887843795,-2292.9241711931536,0.0,192121.0,1421.3500000000001,1421.3500000000001,0.0,0.0,1.0,162255.0
"Bamberg County, South Carolina",-303.8505009696237,-341.09403684551944,-37.24353587589013,-37.24353587589013,0.0,5696.0,"","","","","",2088.0
"Bandera County, Texas","","","","","",13729.0,71.9392857142857,71.9392857142857,0.0,0.0,1.0,3432.0
"Banks County, Georgia","","","","","",12556.0,238.73672245442867,342.4503257982433,96.70706739663001,110.72013929201785,0.0,2057.0
"Banner County, Nebraska","","","","","",582.0,-6.725,-6.725,0.0,0.0,1.0,44.0
"Bannock County, Idaho",536.7342760181346,606.9060601163656,70.17178409825505,70.17178409825505,0.0,54386.0,211.30714285714282,211.30714285714282,0.0,0.0,1.0,15158.0
"Baraga County, Michigan",180.78183581128542,213.35261797030398,32.570782159018236,32.570782159018236,0.0,4573.0,23.642857142857142,23.642857142857142,0.0,0.0,1.0,1421.0
"Barber County, Kansas",-146.91961861668824,-167.15265029089642,-20.23303167420923,-20.23303167420923,0.0,2732.0,"","","","","",837.0
"Barbour County, Alabama",-271.5035714285714,-271.5035714285714,0.0,0.0,1.0,10217.0,"","","","","",3524.0
"Barbour County, West Virginia",-118.78571428571428,-118.78571428571428,0.0,0.0,1.0,8831.0,62.389285714285705,62.389285714285705,0.0,0.0,1.0,2598.0
"Barceloneta Municipio, Puerto Rico",-389.0464285714285,-389.0464285714285,0.0,0.0,1.0,8396.0,78.65357142857141,78.65357142857141,0.0,0.0,1.0,3097.0
"Barnes County, North Dakota",-61.54642857142856,-61.54642857142856,0.0,0.0,1.0,6197.0,33.97857142857143,33.97857142857143,0.0,0.0,1.0,2552.0
"Barnstable County, Massachusetts",2694.795620556106,3105.8371525534894,411.0415319974239,411.0415319974239,0.0,140747.0,321.45,321.45,0.0,0.0,1.0,46545.0
"Barnwell County, South Carolina",-249.19285714285715,-249.19285714285715,0.0,0.0,1.0,8917.0,"","","","","",3690.0
"Barranquitas Municipio, Puerto Rico",-477.98571428571415,-477.98571428571415,0.0,0.0,1.0,12834.0,55.457142857142856,55.457142857142856,0.0,0.0,1.0,2617.0
"Barren County, Kentucky",-203.25357142857138,-203.25357142857138,0.0,0.0,1.0,25529.0,183.11071428571424,183.11071428571424,0.0,0.0,1.0,7545.0
"Barron County, Wisconsin",95.40638332255185,130.48185197154817,35.07546864899672,35.07546864899672,0.0,28432.0,67.80714285714285,67.80714285714285,0.0,0.0,1.0,8465.0
"Barrow County, Georgia",885.6714285714286,885.6714285714286,0.0,0.0,1.0,53912.0,152.30357142857142,152.30357142857142,0.0,0.0,1.0,8757.0
"Barry County, Michigan",654.6653508543968,937.0992550998926,263.2370716921869,301.63073685094423,0.0,42789.0,194.125,194.125,0.0,0.0,1.0,9458.0
"Barry County, Missouri",-310.5610914900899,-479.50129828602076,-154.92550091463636,-182.95491267932084,0.0,23124.0,-55.52857142857142,-55.52857142857142,0.0,0.0,1.0,4758.0
"Bartholomew County, Indiana",142.15714285714284,142.15714285714284,0.0,0.0,1.0,51353.0,280.0357142857143,280.0357142857143,0.0,0.0,1.0,14507.0
"Barton County, Kansas",-284.1714285714286,-284.1714285714286,0.0,0.0,1.0,14925.0,"","","","","",4385.0
"Barton County, Missouri",-185.12857142857143,-185.12857142857143,0.0,0.0,1.0,7465.0,37.04285714285714,37.04285714285714,0.0,0.0,1.0,1738.0
"Bartow County, Georgia",562.2892857142857,562.2892857142857,0.0,0.0,1.0,72260.0,213.27857142857138,213.27857142857138,0.0,0.0,1.0,12331.0
"Bastrop County, Texas",1309.542857142857,1309.542857142857,0.0,0.0,1.0,63327.0,629.527472527494,695.6868131868541,66.15934065933861,66.15934065933861,0.0,11563.0
"Bates County, Missouri",-143.42857142857142,-143.42857142857142,0.0,0.0,1.0,9946.0,26.049844957888126,76.72782381996512,45.60972848459642,55.74622923891002,0.0,2327.0
"Bath County, Kentucky",209.595220874995,266.8507153671235,54.026987705774445,60.48400128010326,0.0,8001.0,"","","","","",1765.0
"Bath County, Virginia",-64.81071428571428,-64.81071428571428,0.0,0.0,1.0,2232.0,"","","","","",1048.0
"Baxter County, Arkansas",-268.88218845427036,-454.74104602634907,-168.8841843631526,-202.8335307706293,0.0,26436.0,258.9440691661439,291.7567711700249,32.81270200387907,32.81270200387907,0.0,8537.0
"Bay County, Florida",737.95,737.95,0.0,0.0,1.0,105222.0,154.42499999999998,154.42499999999998,0.0,0.0,1.0,31904.0
"Bay County, Michigan",-940.4285714285713,-940.4285714285713,0.0,0.0,1.0,57560.0,232.03214285714287,232.03214285714287,0.0,0.0,1.0,20590.0
"BayamÃ³n Municipio, Puerto Rico",-2769.4821428571427,-2769.4821428571427,0.0,0.0,1.0,79483.0,511.55714285714294,511.55714285714294,0.0,0.0,1.0,27529.0
"Bayfield County, Wisconsin",229.65206851971743,260.10003232062445,30.447963800904702,30.447963800904702,0.0,10711.0,-20.73829993536492,-29.976826115071162,-9.238526179703102,-9.238526179703102,0.0,3132.0
"Baylor County, Texas","","","","","",2503.0,"","","","","",569.0
"Beadle County, South Dakota",139.96071428571426,139.96071428571426,0.0,0.0,1.0,12635.0,-117.24856173239459,-131.92034583065106,-14.671784098255616,-14.671784098255616,0.0,2794.0
"Bear Lake County, Idaho",136.51197478991526,158.43004201680742,21.91806722689122,21.91806722689122,0.0,4852.0,24.81380033865571,45.01328140683472,18.36533074206818,22.033631395633165,0.0,694.0
"Beaufort County, North Carolina",-260.35714285714283,-260.35714285714283,0.0,0.0,1.0,26301.0,-157.03555268263153,-194.9224305106909,-37.88687782805419,-37.88687782805419,0.0,7300.0
"Beaufort County, South Carolina",1940.7571428571418,1940.7571428571418,0.0,0.0,1.0,120607.0,525.0607142857142,525.0607142857142,0.0,0.0,1.0,29186.0
"Beauregard Parish, Louisiana",-191.6571853645146,-299.0118054226041,-99.86888601331884,-114.84035408872296,0.0,23009.0,97.88214285714285,97.88214285714285,0.0,0.0,1.0,4757.0
"Beaver County, Oklahoma",-57.09642857142857,-57.09642857142857,0.0,0.0,1.0,3369.0,"","","","","",681.0
"Beaver County, Pennsylvania",-761.1857142857142,-761.1857142857142,0.0,0.0,1.0,100054.0,417.95357142857137,417.95357142857137,0.0,0.0,1.0,31268.0
"Beaver County, Utah",105.4892857142857,105.4892857142857,0.0,0.0,1.0,5713.0,"","","","","",484.0
"Beaverhead County, Montana","","","","","",5800.0,43.764285714285705,43.764285714285705,0.0,0.0,1.0,2279.0
"Becker County, Minnesota",120.44642857142858,120.44642857142858,0.0,0.0,1.0,22981.0,200.3639480881393,270.7628743350506,65.33381815609391,75.46403434622334,0.0,5611.0
"Beckham County, Oklahoma",-607.5791047188395,-688.7738364576944,-81.19473173885169,-81.19473173885169,0.0,10294.0,"","","","","",3554.0
