"","married.slope_2022","married.acc_2022","married.steady_slope","married.val_2022","unmarried.slope_2022","unmarried.acc_2022","unmarried.steady_slope","unmarried.val_2022","NAME","no_curve_married","no_curve_unmarried","cluster"
"1",-0.19843006392569,0.007678976113996,0.81334502673241,-0.250136372503883,0,0,0,-0.240589049240223,"Abbeville County, South Carolina",-1,1,3
"2",-0.818674151685537,-0.948533131601517,-1.2290380025023,-0.138481320658519,-0.664637361158619,-1.20485763204104,-1.16129689266478,-0.171630280206158,"Acadia Parish, Louisiana",-1,-1,1
"3",-0.192710133671289,-0.141894892921689,-1.2290380025023,-0.223496991461885,-0.390114991826418,-0.069567812562571,0.86077208868464,-0.216486955208899,"Accomack County, Virginia",-1,-1,1
"4",2.01199206230189,0.007678976113996,0.81334502673241,1.38011269870918,2.36645573301559,-0.069567812562571,0.86077208868464,1.24803239001021,"Ada County, Idaho",-1,-1,3
"5",-0.164236550741683,0.007678976113996,0.81334502673241,-0.297763064150626,-0.167260664623088,0.79520879843513,-1.16129689266478,-0.281939644774957,"Adair County, Iowa",-1,-1,3
"6",0,0,0,-0.260294102865174,0,0,0,-0.264937802128592,"Adair County, Kentucky",1,1,2
"7",-0.055860264776608,0.0653310270558736,-1.2290380025023,-0.253628925462752,-0.712834053328195,-2.82066619377079,-1.16129689266478,-0.188649741342312,"Adair County, Missouri",-1,-1,1
"8",-0.224430738391482,0.007678976113996,0.81334502673241,-0.262219006098993,-0.279896925758076,-0.069567812562571,0.86077208868464,-0.264215444047244,"Adair County, Oklahoma",-1,-1,3
"9",1.45070306798068,0.007678976113996,0.81334502673241,1.37664680645992,1.65789096314474,-0.069567812562571,0.86077208868464,1.02260381316022,"Adams County, Colorado",-1,-1,3
"10",-0.0740929602124321,0.0404317034452097,-1.2290380025023,-0.30627849479996,-0.308856666238373,-0.069567812562571,0.86077208868464,-0.29499494570859,"Adams County, Idaho",-1,-1,1
"11",-0.41720631828909,-0.118607662949745,-1.2290380025023,-0.11379350355995,-0.035651893224617,0.435655385740661,-1.16129689266478,-0.0953774563994563,"Adams County, Illinois",-1,-1,1
"12",0.0789494973189468,0.354518414692755,-1.2290380025023,-0.183431277060449,-0.365466040505134,-0.335714487846349,-1.16129689266478,-0.235726346058464,"Adams County, Indiana",-1,-1,1
"13",-0.152660428943816,0.007678976113996,0.81334502673241,-0.309435122817746,-0.348463705358262,-0.325485697316148,-1.16129689266478,-0.297672956156515,"Adams County, Iowa",-1,-1,3
"14",-0.197088819153943,0.007678976113996,0.81334502673241,-0.255484510851586,0,0,0,-0.213509430434562,"Adams County, Mississippi",-1,1,3
"15",-0.201998488154815,0.007678976113996,0.81334502673241,-0.224973994774262,-0.473538165478971,-0.454634843706568,-1.16129689266478,-0.209950495497188,"Adams County, Nebraska",-1,-1,3
"16",-0.162605546263767,-0.00979396946879903,-1.2290380025023,-0.314079418431754,-0.321845600597104,-0.0470966437753451,-1.16129689266478,-0.303187543460466,"Adams County, North Dakota",-1,-1,1
"17",-0.00879398396521202,0.120148181480922,-1.2290380025023,-0.229031754776856,-0.562721457285828,-0.626648006899087,-1.16129689266478,-0.249116398298089,"Adams County, Ohio",-1,-1,1
"18",-0.189726462813878,-0.227313167087054,-1.2290380025023,0.0424969083139499,-0.165181292001271,-0.069567812562571,0.86077208868464,-0.0496046199276884,"Adams County, Pennsylvania",-1,-1,1
"19",0.0833409571133148,0.372639939448935,-1.2290380025023,-0.252285225698424,-0.293398138885314,-0.069567812562571,0.86077208868464,-0.279455437714711,"Adams County, Washington",-1,-1,1
"20",-0.0995884385622565,0.0451972910692039,-1.2290380025023,-0.257905303284146,-0.22401560461089,-0.069567812562571,0.86077208868464,-0.228467528265405,"Adams County, Wisconsin",-1,-1,1
"21",0,0,0,-0.203464134261167,-0.20833156061877,-0.069567812562571,0.86077208868464,-0.187028840281726,"Addison County, Vermont",1,-1,2
"22",-0.243397420593175,0.007678976113996,0.81334502673241,-0.280582902878144,-0.251532889607376,-0.069567812562571,0.86077208868464,-0.270593337350854,"Adjuntas Municipio, Puerto Rico",-1,-1,3
"23",-0.388312198242382,0.007678976113996,0.81334502673241,-0.217850253166554,-0.156611659716917,-0.069567812562571,0.86077208868464,-0.220521589370575,"Aguada Municipio, Puerto Rico",-1,-1,3
"24",-0.482790412527043,0.007678976113996,0.81334502673241,-0.194170210891231,-0.0315818309962215,-0.069567812562571,0.86077208868464,-0.160336828251422,"Aguadilla Municipio, Puerto Rico",-1,-1,3
"25",-0.312083415632193,0.007678976113996,0.81334502673241,-0.263829312959418,-0.255579424017714,-0.069567812562571,0.86077208868464,-0.261361248701429,"Aguas Buenas Municipio, Puerto Rico",-1,-1,3
"26",-0.275011300427842,0.007678976113996,0.81334502673241,-0.267919065813544,-0.185601185413694,-0.069567812562571,0.86077208868464,-0.245275567524091,"Aibonito Municipio, Puerto Rico",-1,-1,3
"27",0.169688140697804,0.007678976113996,0.81334502673241,0.222024794683652,0.230272772171202,-0.069567812562571,0.86077208868464,0.172176929535981,"Aiken County, South Carolina",-1,-1,3
"28",-0.166883383471203,0.007678976113996,0.81334502673241,-0.27079842245139,0,0,0,-0.255881898377057,"Aitkin County, Minnesota",-1,1,3
"29",0.495931531557994,0.007678976113996,0.81334502673241,0.364281009019014,0.721558642852234,-0.069567812562571,0.86077208868464,1.11316285067557,"Alachua County, Florida",-1,-1,3
"30",0.281487338077721,0.007678976113996,0.81334502673241,0.204279426367445,0.346375546009783,-0.069567812562571,0.86077208868464,0.204172106992768,"Alamance County, North Carolina",-1,-1,3
